Column 1
Prophet Muhammad(saw)
Umm Kulthum bint 'Ali bin Abi Talib
al-'Abbas ibn 'Abd al-Muttalib
Abu Salamah
Ruqayyah bint Muhammad
'Abdullah bin Saalam
Hadrad bin Abi Hadrad al-Aslami
'Abdullah bin Abi Hadrad al-Aslami
'Abdullah ibn al-Zubayr
'Abdur Rahman bin Abi Bakr
'Abdullah ibn Ja'far
Bukayr bin Shaddakh al-Laithi
'Abdullah bin Abi Bakr
"Abu Dujana, Simak bin Aus bin Kharasha"
al-Mundhir bin 'Amr b. Khunays
Abu Usayd Malik bin Rabi'a
Zayd ibn al-Khattab
Abu Lubaba bin 'Abdul Mundhir
Abu Sufyan ibn Harb
Abu Sufyan ibn al-Harith
Ja'far ibn Abi Sufyan
Abu al-'Aas ibn al-Rabiah
Abu Hudhayfah ibn 'Utbah
'Uthman bin Maz'un
'Abdullah bin Maz'un
'Imran bin Husain
Zaynab bint Maz'un
Umm Waraqa bint 'Abdullah
Zinira
'Abdur Rahman ibn Shaddad
Qutham ibn al-'Abbas
Malik bin Mas'ud bin Badiy
Thawban bin Bujdud
'Abdullah ('Abd Rabb) bin Haq
Bashir ibn Sa'd
'Ubaydallah bin al-'Abbas
Amina bint 'Amr bin Harb
Fadl ibn al-'Abbas
Umm Habib bint Jahsh
Jariyya bint 'Amr bin Mu'mil
Damra bin Ka'b bin 'Amr
Habibah bint Ubayd-Allah
'Abdullah bin Abi Umayyah
Lubaba(Sughra) bint al-Harith
Ziyad bin Ka'b bin 'Amr
Muhammad bin Abu Hudhayfah ibn 'Utbah
Hisham ibn al-'Aas
Hudhayfah ibn al-Yaman
Buzay'a bint Abi Kharija bin Aws
Ikrimah ibn Abi Jahl
Nu'man bin Malik
Khabbab ibn al-Aratt
Khalid bin Sa`id ibn al-'As
Shaddad ibn al-Haad
Khunays ibn Hudhaifa
Mandwas bint 'Ubada b. Dulaim
Layla bint 'Ubada b. Dulaim
Fukayha bint 'Ubayd b. Dulaim
Umm Fadl Lubaba bint al-Harith
Sa'id bin Sa'd ibn 'Ubadah
Ishaq bin Sa'd ibn 'Ubadah
Malik bin al-Dukhsham
al-Furay'a bint Malik bin al-Dukhsham
Qurratu'l-'Ayn bint 'Ubada bin Nadla
al-Fa'rah bint Abi Sufyan
al-Miqdad ibn al-Aswad
Talib ibn Abi Talib
'Aqeel ibn Abi Talib
al-Mughira ibn Shu'ba
Muhammad Ibn Maslama
Muhammad ibn Abi Bakr
'Abdullah ibn Shaddad
Aus bin As-Samit
Salma
Qays ibn Sa'd ibn 'Ubadah
Naufal bin 'Abdullah bin Nadla
Rabi'ah ibn al-Harith
'Amir ibn Abi Waqqas
'Amra bint Mas'ud #4
Nawfal ibn al-Harith
Ghaziyya bint Sa'd ibn Khalifa
'Abdullah ibn al-Harith
Salim Mawla Abu Hudhayfah
'Umama bint Hamza
Suhayb bin Sinan ar-Rumi
'Ubaydah ibn al-Harith
Muhammad ibn Ja'far
Awn ibn Ja'far
Umm Kulthum bint 'Amr (Jarwal)
Umm Shareek
Umm 'Ubays
'Uqba bin 'Amir al-Juhayni
'Urwah ibn Mas'ud al-Thaqafi
Ayman bin 'Ubiad
'Abdullah b. Zama'a
Mulayl bin Wabara bin Khalid
Habiba bint Mulayl bin Wabara
Bushra bint Mulayl bin Wabara
'Atikah bint Zayd
Tulayb bin 'Umayr
Umm Hani bint Abi Talib
Jumanah bint Abi Talib
'Umayr bin Sa'd al-Ansari
Basbas bin 'Amr bin Tha'laba
"Umm Ayman, Barakah"
Habiba bint Kharijah ibn Zayd
'Abdullah ibn Hudhafah as-Sahmi
Tufail ibn 'Abdullah
'Utbah ibn Ghazwan
Mahabba bint ar-Rabi' ibn 'Amr
Muhammad bin 'Abdur Rahman
Umm Haram bint Milhan
Huzayla bint 'Utba ibn 'Amr
Zayd ibn Kharija ibn Zayd
'Adi ibn Hatim al-Tayyi'
Ibn Umm Maktum
Jamila bint Sa'd ibn ar-Rabi'
'Amra bint Hazm ibn Zayd
al-Harith ibn Nawfal ibn al-Harith
'Umayr bin Wahb
Yazid bin Abi Sufyan
Abu 'Umair bin Abi Talha
Umama bint As-Samit
Suhyal bin Bayda'
Umm Khultum bint Suhayl
Abu Sibrah bin Abi Ruhm
Fatima bint Qays
Ad-Dahhak bin Qays
Thabit bin As-Samit
Abu Burzah al-Aslami
Khawla bint As-Samit
Abu Talha Ansari
Addas
Arwa bint 'Abd al-Muttalib
Ka'b bin Jimaz(Himar) bin Tha'laba
Qatada ibn al-Nu'man
'Utba bin Rabai'a bin Khalid
Ma'mar bin Harith bin Ma'mar
'Amr bin Iyyas bin Zayd
Salma ibn al-Akwa
Suhayl ibn 'Amr
Thabit bin Qays b. Shammas
'Ady bin Qays bin Hudhafa al-Sahmi
Umayma bint Ady bin Qays bin Hudhafa
Wahshy ibn Harb
Yasir ibn 'Amir
Zaynab bint Abi Salamah
Salamah bin Abi Salamah
'Umar bin Abi Salamah
Durrah bintt Abi Salamah
Duba'a bint Az-Zubair
Umm al-Hakam bint Az-Zubair
Safiyya bint Az-Zubair
'Itban bin Malik bin 'Amr
Layla bint Ri'ab bin Hunayf
'Asma bin Ri'ab bin Hunayf
Thabit bin Hazzal
'Amra bint Hazzal
Abaan bin Sa'id ibn al-'As
Umm az-Zubayr bint Az-Zubair
Rabi' bin Iyas b. 'Amr
Abd' bin Jahsh
Wazfah/Waraqa bin Iyas b. 'Amr
'Aatika bint 'Abd al-Muttalib
al-Mujadhar bin Ziyad b. 'Amr
'Ubada bin al-Hashas b. 'Amr
Bahhath bin Tha'laba bin Hazama
'Abdullah bin Tha'laba bin Hazama
Yazid bin Tha'laba bin Hazama
"Abu Fakih, Aflah bin Yasar"
Aflah
Aflah
Aflah Client of Umm Salamah
Kharija ibn Zayd
'Amra bint Rawaha
Simak ibn Sa'd
al-Nu'man bin Bashir ibn Sa'd
Umayya or Ubayya bint Bashir ibn Sa'd
Khallad ibn Suwayd b. Tha'laba
al-Saib bin Khallad bin Suwayd
Mandwas bint Khallad bin Suwayd
Unaysa or Nufaysa bint Qays
Subay' bin Qays bin 'Aysha
'Abbad bin Qays bin 'Aysha
Yazid bin al-Harith ibn Qays
Hurayth bin Zayd
Sufyan bin Nasr bin 'Amr
Khubayb bin Isaf
Jamila bint 'Abdullah ibn Ubayy
Zaynab bint Qays b. Shammas
Unaysa bint Khubayb bin Isaf
Umm Thabit bint Qays b. Shammas
Kabsha bint Waqid bin 'Amr
Muhammad bin Thabit ibn Qays b. Shammas
Zaynab bint Thabit ibn Qays b. Shammas
'Abdullah bin Thabit ibn Qays b. Shammas
'Abdur Rahman bin Thabit ibn Qays
Yahya bin Thabit ibn Qays
Qurayba bint Zayd
Tamim bin Ya'ar bin Qays
Yazid/Zayd bin al-Muzayyan bin Qays
'Abdullah bin 'Umair
'Abdullah bin 'Urfuta bin 'Adi
'Abdullah bin 'Abdullah ibn Ubayy
Mulayka bint 'Abdullah ibn Ubayy
Ramla bint 'Abdullah ibn Ubayy
Umm Sa'd/Sa'id bint 'Abdullah ibn Ubayy
'Ubada bin 'Abdullah ibn Ubayy
Muhammad bin 'Abdullah ibn Ubayy
Ma'mar bin 'Abdullah ibn Ubayy
'Abdullah bin 'Abs
Umm Malik bint Ubayy bin Malik
Zayd bin Wadi'a b. 'Amr
Zaynab bint Sahl bin al-Sa'b
Rifa'a bin 'Amr bin Zayd
Ma'bad bin 'Abbad b. Qushayr
Mu'adha bint 'Abdullah bin 'Amr
Aws bin Khawli
Khawla bint Khawli
Fushum bint Aws bin Khawli
'Abdullah bin Rabi' bin Qays
Na'ila bint Rabi' bin Qays
Abu Zayd al-Ansari
Rafi' bin Malik bin al-'Ajlan
Malik bin Rafi' bin Malik
Rifa'a bin Rafi' bin Malik bin al-'Ajlan
Khallad bin Rafi' bin Malik
Yahya bin Khallad bin Rafi' bin Malik
Umm Rafi' bint 'Uthman ibn Khalida
Umama bint 'Uthman ibn Khalida
Al Aswad bin Nawfal
'Amir ibn al-Akwa'
Thabit bin Khalid bin al-Nu'man
'Umara bin Hazm ibn Zayd
Suraqa bin Ka'b bin 'Amr
Haritha bin al-Nu'man
Sulaym bin Qays bin Qahd
Suhayl bin Rafi'
Mas'ud bin Aws bin Zayd
Abu Khuzayma bin Aws bin Zayd
Rafi' bin al-Harith bin Sawad
Sahl bin Rafi'
al-Nu'man bin 'Amr bin Rifa'a
'Amir bin Mukhallad
'Abdullah bin Qays
Thabit bin 'Amr bin Zayd
Rabi'a bin 'Amr
'Adi bin al-Zaghba'
Wadi'a bin 'Amr
'Usayma
Abu al-Hamra
Ubbay bin Mua'dh bin Anas
Anas bin Mua'dh bin Anas
Aus bin Thabit
Abu Shaykh bin Thabit
'Asma bin al-Husain bin Wabara
Bujayr bin Abi Bujayr
Tha'laba bin 'Amr bin Mihsan
al-Harith bin al-Samma
Sahl bin 'Atik
Abu Akhzam/Ahzam bin 'Atik
Abu 'Amra bin 'Amr bin Mihsan
Haritha bin Suraqa
'Amr bin Tha'laba
Muhriz bin 'Amir bin Malik
Salit bin Qays bin 'Amr
Abu Salit bin 'Amr bin Qays
'Amir bin Umayya bin Zayd
Thabit bin Khansa'
Qays bin al-Sakan bin Qays
Abu'l-Awwar (bin al-Harith) bin Zalim
Sawad/Sawwad bin Ghaziya
"Abu Da'ud, 'Umayr bin 'Amir"
Qays bin Mukhallad
'Usayma
Kaysan
al-Nu'man bin 'Abdu 'Amr bin Mas'ud
al-Dahhak bin 'Abdu 'Amr bin Mas'ud
Jabir bin Khalid bin Mas'ud
Ka'b bin Zayd bin Qays bin Malik
Sulaym bin al-Harith bin Tha'laba
Sa'id/Sa'd bin Suhayl bin Malik
'Amr bin Qays bin Malik
Qubta bin 'Abdu 'Amr bin Mas'ud
Tamim al-Dari
Sulaiman bin Sard
Zayd bin Arqam
al-Bara' bin Malik
Anas bin al-Nadr b. DamDam
al-Nadr bin Anas bin al-Nadr
"Abu Sarma, Malik bin Qays"
Shadad bin Aus bin Thabit
Ka'b bin Malik bin Abi Ka'b
Abu Qatada ibn Rab'i
Samra b. Junada
Jabir bin Samra
Samra bin Jundub
Zayd bin al-Dathinna
Khubayb bin 'Adi
"Barira, the client of 'Aisha"
Mu'awiya bin Hadeej
Sahl bin Sa'd bin Malik
al-Bara' bin Azib bin al-Harith
'Ubaid bin Azib bin al-Harith
Abu Mas'ud al-Badri
Sahl bin Hunayf
'Uthman bin Hunayf
Abu Umama bin Sahl
'Abbad bin Hunayf
Abu Burda al-Asha'ari
Abu 'Amir al-Asha'ari
Ibrahim bin Abi Musa al-Asha'ari
Khuzayma bin Thabit
'Abdullah bin Thabit
'Amara bin Aws bin Khalid
Muhammad bin 'Abdullah bin Jahsh
Fatima bint Abi Hubaysh
Amina bint Ruqaysh al-Asadi
'Abdur Rahman bin Ruqaysh al-Asadi
Rayta bint Munabbih bin al-Hajjaj
Umm 'Abdullah bint Milhan
Abu Jandal bin Suhayl
Khalid ibn Hizam
Juwayriyya bint Abi Jahl
'Abdullah bin Abi Talha
Hakim ibn Hizam
al-Hunfa' bint Abi Jahl
Hatib bin Abi Balta'ah
Arwa bint Kuraiz bin Rabi'a
'Amir bin Kuraiz
'Utba bin Abi Lahab
Dihya Kalbi
Mu'attib bin Abi Lahab
Zaynab bint al-'Awwam bin Khuwaylid
'Abdullah bin Hakim ibn Hizam
Khalid bin Hakim ibn Hizam
Hisham bin Hakim ibn Hizam
Yahya bin Hakim ibn Hizam
Umm Habib bint al-'Awwam bin Khuwaylid
Umm al-Hasan bint Khalid ibn Hizam
Safinah
al-Saib bin al-'Awwam bin Khuwaylid
Zabiya bint Wahb
Rayta/Rabta/Fatima bint Sufyan
'Ai'sha bint Qudamah bin Maz'un
Zaynab bint Uthman bin Maz'un
'Abdur Rahman ibn Uthman bin Maz'un
Safiyah bint al-Khattab
Khawla bint Tha'laba
Khalid ibn Ribah
'Abdur Rahman ibn al-Harith
Safwan bin Umayyah
al-Sakran bin 'Amr b. 'Abd Shams
'Abdur Rahman bin Hassan ibn Thabit
Hassan ibn Thabit
Durrah bint Abi Lahab
Fatima bint al-Walid b. al-Mughirah
Salma bin Nua'ym ibn Mas'ud
Umm Sabir bint Nua'ym ibn Mas'ud
Zayd bin Sohan
Sihan bin Sohan
'Abdur Rahman bin Zayd ibn al-Khattab
Sahel bin 'Amr b. 'Abd Shams
Hatib bin 'Amr
Saleet bin 'Amr
Nua'ym ibn Mas'ud
Rabi'ah ibn Kab al-Aslami
'Abdur Rahman bin Sakran bin 'Amr
Sa'sa'a bin Sohan
Wahb bin 'Umayr bin Wahb
Qays bin 'Amr bin Qays
'Amr bin Qays bin Zayd
Qudamah bin Maz'un
Suraqa bin Malik
Shuja bin Wahb al-Asadi
Asma' bint Zayd ibn al-Khattab
al-Sa'ib ibn Uthman bin Maz'un
Rafi'
Shuqran
Abu Kabsha
Ansa
Abu Rafi'
Dhakwan or Kisan or Tahman or Mihran
al-Aswad bin Sufyan
Abu 'Amr bin Hafs
'Ady ibn al-Rabi' bin 'Abdul-'Uzza
Abu 'Aziz ibn 'Umair
Ash'uth bin Qays
Ibrahim ibn Qays
'Abdullah bin Safwan bin Umayyah
'Abdur Rahman bin Safwan bin Umayyah
Barza bint Mad'ud ibn 'Amr al-Thaqafiyya
Halah bint Khuwaylid
Hizam bin Khuwaylid
Qays ibn Hudhaifa
Haram bin Milhan
al-Baghum bint al-Mu'adhil
Sulaym bin Milhan
Zayd al-Khayr
Rayta bint 'Abdullah
Zaynab bint. Abi Mu'awiya
Umm 'Abdullah bin Mas'ud
Abu Quhafa Uthman bin 'Amir
Salma Umm-ul-Khair
Umm Farwa bint Abi Quhafa
Qurayba bint Abi Quhafa
Umm 'Amir bint Abi Quhafa
al-Tufayl ibn al-Harith
al-Husayn ibn al-Harith
Mu'awiyah ibn al-Harith
'Abdullah bin al-Husayn ibn al-Harith
Khadija bint al-Husayn ibn al-Harith
al-Harith ibn Ubaydah
Ibrahim ibn Ubaydah
Muhammad ibn Ubaydah
Rayta bint Ubaydah
Safyah bint Ubaydah
'Amir bin al-Tufayl ibn al-Harith
al-Qasim bin Muhammad
'Abdullah bin Muhammad
Ibrahim bin Muhammad
'Ali bin Abi 'Aas ibn al-Rabi'
Ma'bad bin al-'Abbas
'Abdur Rahman ibn al-'Abbas
Umm Habiba ibn al-'Abbas
Harith ibn al-'Abbas
Kathir ibn al-'Abbas
Mushir ibn al-'Abbas
Awn ibn al-'Abbas
Tammam ibn al-'Abbas
Safiya bint Mahmiya
Fitimah bint Junayd bin 'Amr
'Abdullah ibn Nawfal ibn al-Harith
Rabi'ah ibn Nawfal ibn al-Harith
Sa'eed ibn Nawfal ibn al-Harith
al-Mughira ibn Nawfal ibn al-Harith
Umm Khultum bint Fadl ibn al-'Abbas
Rayta bint Abi Talib
"Mughith, the husband of Barira"
Khalida bint Abi Lahab
'Uzza bint Abi Lahab
'Abdullah ibn Abi Sufyan
'Atika bint Abi Sufyan
Umm 'Amr bint al-Muqawwim
Hind bint al-Muqawwim
Arwa bint al-Muqawwim
'Abdullah bin Mas'ud bin Mu'attib
Umm 'Abdullah bin 'Aidy b. Khuwaylid
'Umara bin Hamza
Ya'la bin Hamza
Fatima bin Hamza
Ammtullah bint Hamza
Zayd ibn Zayd
Ruqiyyah ibn Zayd
Zaynab ibn Zayd
Abu al-Rome  ibn 'Umair
Zaynab bint Mus'ab ibn 'Umair
al-Walid bin 'Uqba
'Ammarah bin 'Uqba
Khalid bin 'Uqba
Umm Hakim bint 'Uqba
Hind  bint 'Uqba
'Abdur Rahman bin 'Umar (Akbar)
'Ubaidallah bin 'Umar
Zayd bin 'Umar
'Asim bin 'Umar
Jamila bint Thabit ibn Abi al-Aflah
Khawlah bint Ja'far
Zayd bin 'Amr bin Nufayl
Fatima bint Ba'aja
Amnah bint Affaan
'Abdullah bin 'Uthman
Ramlah bint Shayba bin Rabi'a
Umm 'Amr bint Jundub al-Dausi
Fatima bint al-Walid b. 'Abd Shams
Na'ilah bint al-Furafisah
Fakhitah bint Ghazwan
Muhammad As-Sajjad ibn Talha
'Imran ibn Talha
Musa ibn Talha
Khawla bint al-Qa'Qa'
Umm Aban bint 'Utba b. Rabi'a
Suada bint 'Auf al-Murriya
al-Jarba' bint Qasama al-Tayyi'
Ibrahim bin 'Abdur Rahman
as-Sa'bah bint al-Hadrami
al-'Ala' bin al-Hadrami
Khayra bint Qays
Muhammad bin 'Abdur-Rahman
al-Shifa' bint 'Awf
'Atika bint 'Awf
al-Shifa' bint 'Awf
'Abdullah Ibn 'Awf
Tumadir bint al-Asbagh Kalbia
Halah bint 'Awf
Sahla bint 'Asim bin 'Ady
Umm Hakim bint Qariz bin Khalid
Ishaq bin Sa'd ibn Abi Waqqas
'Umar bin Sa'd ibn Abi Waqqas
Yazid ibn 'Abdullah ibn al-Jarrah
'Abdullah bin Ka'b
'Abdur Rahman bin Ka'b
Zaid bin Asim Mazni
Ghaziyah bin 'Amr Mazni
Habib bin Zaid Mazni
'Abdullah bin Zayd Mazni
Tameem bin Zayd/Ghaziya Mazni
Khawlah bint Ghaziyah Mazni
Suraqa bin 'Amr Mazni
Sawad bin 'Amr Mazni
Ramlah bint al-Harith
'Auf bin 'Afra'
Mu'adh bin 'Afra'
Mu'awwidh bin 'Afra'
'Afra' bint 'Ubayd b. Tha'laba
Ja'da bint 'Ubayd b. Tha'laba
Khawla bint 'Ubayd b. Tha'laba
ar-Rubbayi' bint Mu'awwidh bin 'Afra'
'Amira bint Mu'awwidh bin 'Afra'
Fari'a bint Mu'awwidh bin 'Afra'
Habiba bint Qays bin Zayd
Qays bin Zayd b. 'Amir
'Amra bint Mas'ud bin Aws
'Amira bint Mas'ud bin Aws
Suhayma bint Mas'ud bin Aws
Umm Salama bint Mas'ud bin Aws
Habiba bint Mas'ud bin Aws
Umm Jundub bint Mas'ud bin Aws
Layla bint al-Khutaym
Lubna bint al-Khutaym
Jamila bint Abi Sa'sa'a
al-Walid bin 'Ubada bin As-Samit
Qays bin Abi Sa'sa'a
Harith bin Abi Sa'sa'a
'Abdur Rahman bin Abi Sa'sa'a
Jabir bin Abi Sa'sa'a
Abu Kalab bin Abi Sa'sa'a
Sahal bin Abi Sa'sa'a
al-Harith bin Sahal bin Abi Sa'sa'a
'Abbad bin Tameem Mazni
Bashira bint al-Harith
Qays bint al-Khutaym
Thabit bin Qays bint al-Khutaym
Yazid bin Qays bint al-Khutaym
Nasr bin al-Harith
'Amira bint al-Harith
'Amr bin Sahl bin al-Harith
Umm Sahl bint al-Nu'man
al-Rabi' bin Sahl bin al-Harith
Sahl bin al-Harith bin 'Urwa
Bashira bint al-Nu'man bin al-Harith
'Ubaid bin Aus bin Malik
Umayma bint al-Nu'man bin al-Harith
Abu Namla bin Mu'adh
Bashira bint Thabit bin al-Nu'man
'Amira bint Thabit bin al-Nu'man
Khalid bin Thabit bin al-Nu'man
Shumayla bint al-Harith
Thabit bin al-Nu'man bin al-Harith
Khalid bin al-Nu'man bin al-Harith
'Aisha bint Jaz' bin 'Amr
'Adi bin Haram
Fadala bin 'Adi bin Haram
Anas bin Fadala bin 'Adi bin Haram
Munis bin Fadala bin 'Adi bin Haram
Muhammad bin Anas bin Fadala
Usyar bin 'Urwa bin Sawad
Rafa'a bin Zayd bin 'Amir
'Abdullah bin Tariq
Mu'attib bin 'Ubaid
Khulayda bint al-Hubab bin Jaz'
Umm al-Harith bint al-Harith bin 'Urwa
''Isa bin al-Harith
Habiba bint Mu'attab bin 'Ubaid
Burayda bint Bishr bin al-Harith
Umm Simak bint Fadala bin 'Adi
Mu'adh b. Zurara b. 'Amr
Abu Dhara bin Mu'adh
Burdha' bin Zayd bin al-Nu'man
al-Hubab bin Jaz'
Bishr bin al-Harith
Basheer bin 'Unbus bin Zayd
Naseer bin 'Unbus bin Zayd
Mubshir bin al-Harith
Rifa'a bin Mubshir bin al-Harith
Sufyan bin Hatib bin Umayya
Zayd bin Hatib bin Umayya
'Abdullah bin Rafa' bin Suwayd
Yazid bin Burdha' bin Zayd
Thabit ibn al-Nu'man
'Abdullah bin Qatada ibn al-Nu'man
Asm'a bin Haritha al-Aslami
Hind bin Haritha al-Aslami
Zoa'eb bin Haritha al-Aslami
Himran bin Haritha al-Aslami
Salmah bin Haritha al-Aslami
Malik bin Haritha al-Aslami
Kharash bin Haritha al-Aslami
Fadhala bin Haritha al-Aslami
'Amir bin Rabi'a bin Malik
'Abdullah bin 'Amir bin Rabi'a
Hatib bin al-Harith bin Ma'mar
Fatima bint al-Mujallal
al-Harith bin Hatib bin al-Harith
Muhammad bin Hatib bin al-Harith
Sa'id bin Hatib bin al-Harith
Hattab bin Harith bin Ma'mar
Fakayha bint Yasar
Muhammad bin Hattab bin al-Harith
'Abdullah bin Harith bin Ma'mar
Sahl bin Bayda'
Sufyan bin Ma'mar
Hasana
Shurahbil bin Hasana
Jabir bin Sufyan bin Ma'mar
Junadah bin Sufyan bin Ma'mar
'Abdullah bin Makhrama
al-Aswad bin Khalaf bin 'Abd Yakhuth
Muhammad bin al-Aswad bin Khalaf
Hamina bint Abi Talha
Muhammad bin al-Aswad bin Khalaf
Safiyah bint 'Amr b. 'Abd Wud
'Amr bin Sahel bin 'Amr b. 'Abd Shams
Fatima bint 'Alqamah
Saleet bin Saleet bin 'Amr
'Abdullah bin Suhayl
Sa`id ibn Sa'id ibn al-'As
'Amr ibn Sa'id ibn al-'Aas
Umayna bint Khalaf
Fatima bint Sufwan
Sa'id bin Khalid ibn Sa'id
Umm Khalid bin Khalid ibn Sa'id
Jahm bin Qays
Harmala bint 'Abd bin al-Aswad
'Amr bin Jahm bin Qays
Khuziama bin Jahm bin Qays
Qays bin 'Abdullah al-Asadi
Baraka bint Yasar
Mu'ayqayb bin Abi Fatima al-Dausi
Firas bin al-Nadr b. al-Harith
Suwaybit b. Sa'd b. Harmala
Abu Qays bin al-Harith
'Abdullah bin al-Harith
al-Sa'ib bin al-Harith
al-Hajjaj bin al-Harith b. Qays
Tamim/Bishr bin al-Harith
Sa'id bin 'Amr al-Tamimi
al-Harith bin al-Harith
Sa'id bin al-Harith
Ma'mar bin al-Harith
'Umayr bin Ri'ab bin Hudhayfa
Mahmiya bin al-Jaza
Yazid bin Zama'a bin al-Aswad
'Amr bin Umayya bin al-Harith
'Amr bin 'Uthman bin 'Amr
'Umayr/'Amr bin 'Auf
'Utba ibn Mas'ud
al-Muttalib bin Azhar
Ramlah bint Abi 'Auf
'Abdullah bin al-Muttalib bin Azhar
Tulayb bin Azhar
al-Harith bin Khalid
Rayta bint al-Harith bin Jabala
Fatima bint al-Harith bin Khalid
al-Aswad bin Khalaf
'Abdullah bin Khalaf
Salama bin Hisham
'Ayyash bin Abi Rabi'a
Asma' bint Salama/Makhrabah
'Abdullah bin 'Ayyash bin Abi Rabi'a
Asma' bint Makhrabah b. Jandal al-Tamimi
Hisham bin Abu Hudhayfa
Habbar bin Sufyan
'Abdullah bin Sufyan
Ma'mar bin 'Abdullah
'Adiy bin Nadla bin 'Abdul-'Uzza
al-Nu'man bin 'Adiy bin Nadla
'Urwa bin Abi Athatha bin 'Abdul-'Uzza
Malik bin Zama'a b. Qays
'Amrah bint al-S'adi bin Waqdan
'Amr bin al-Harith bin Zuhayr
'Uthman bin 'Abd Ghanm bin Zuhayr
Sa'id bin 'Abd Qays bin Laqit
al-Harith bin 'Abd Qays bin Laqit
'Ayadh bin Zuhayr b. Abi Shaddad
Mu'attib bin 'Auf
Nabia bin 'Uthman
Sa'd bin Khaula
Ma'mur / 'Amr bin Abu Sarh
Shammas bin 'Uthman b. al-Sharid
Safwan bin Bayda
'Aqil bin al-Bukayr
Khalid bin al-Bukayr
Iyas bin al-Bukayr
'Amir bin al-Bukayr
Abu Marthad al-Ghanvi
Marthad bin Abi Marthad al-Ghanvi
Unays b. Marthad b. Abi Marthad
'Uqba bin Wahb al-Asadi
'Ukkasha bin Mihsan al-Asadi
Abu Sinan bin Mihsan al-Asadi
Sinan bin Abu Sinan bin Mihsan al-Asadi
Muhriz bin Nadla al-Asadi
Rabi'a bin Aktham al-Asadi
Yazid bin Ruqaysh al-Asadi
Thaqf bin 'Amr
Mudlij bin 'Amr al-Salmi
Malik bin 'Amr
Khabbab Mawla 'Utbah bin Ghazwan
Tha'labah bin Abi Balta'ah
'Abdur Rahman bin Hatib bin Abi Balta'ah
Sa'd Mawla Hatib bin Abi Balta'ah
'Abdullah bin Sa'd bin Khauli
'Umayr ibn Abi Waqqas
Mistah bin Uthatha b. 'Abbad b. al-Mutt.
Mudhtaja' bin Uthatha b. 'Abbad
Hind bint Uthatha b. 'Abbad b. al-Mutt.
Umm Mistah bint Abi Ruhm b. al-Muttalib
Umm Qays bint Mihsan al-Asadi
Dhu'l-Shimalyn 'Umair bin 'Abd 'Amr
Mas'ud bin Rabi'a b. 'Amr of al-Qara
'Amir bin Fuhayra
'Amr b. Suraqa
'Abdullah bin Suraqa
Waqid bin 'Abdullah
Khauliy bin Abi Khauliy
